x,y,z,timestamp,walking_direction
-1.3122711,2.6436768,5.26976,0,270
-2.344162,2.3970795,6.0885773,10,270
-2.205307,2.1049805,6.27771,20,270
-1.8413849,1.7602234,6.3064423,30,270
-1.434372,1.209549,6.1987,40,270
-1.1518555,0.5918579,5.9951935,50,270
-0.8980713,0.036392212,5.767746,60,270
-0.7065277,-0.6339874,5.2721405,70,270
-0.90763855,-1.2492828,4.2354584,80,270
-1.4415588,-1.4911041,2.731903,90,270
-2.3010712,-1.4863129,0.71836853,100,270
-3.3066406,-1.771225,-1.299942,110,270
-3.7495575,-2.3697815,-2.216919,120,270
-4.6713257,-3.348999,-2.0086212,130,270
-6.100662,-4.562866,-1.0102386,140,270
-7.7335205,-5.9945984,0.99131775,150,270
-9.15567,-7.0695953,3.7613983,160,270
-10.101379,-7.725601,5.463684,170,270
-11.015961,-8.067978,5.5474854,180,270
-11.573807,-8.058395,4.819641,190,270
-11.454102,-8.067978,3.7973175,200,270
-11.049484,-8.118256,2.9641418,210,270
-10.721481,-8.271484,2.4015045,220,270
-10.759781,-8.70723,2.277008,230,270
-11.063843,-9.394363,2.5140228,240,270
-11.281723,-10.019257,2.7941437,250,270
-11.600143,-10.42627,3.0263824,260,270
-12.280106,-11.034393,3.0096283,270,270
-12.79007,-11.407883,2.8611908,280,270
-14.212219,-12.590622,2.3488312,290,270
-14.817963,-13.062286,2.0375824,300,270
-15.160324,-13.359161,1.6066284,310,270
-15.476364,-13.739838,1.0032806,320,270
-15.677475,-14.146851,0.4550171,330,270
-15.818726,-14.450912,0.22038269,340,270
-16.08928,-14.661606,0.38796997,350,270
-16.587265,-14.709488,0.97454834,360,270
-16.936829,-14.426971,1.5563507,370,270
-17.681427,-14.448532,2.051941,380,270
-18.488266,-14.48204,2.6169739,390,270
-18.58165,-14.110947,3.1053925,400,270
-17.899292,-13.234665,3.404663,410,270
-16.774017,-12.166855,3.593811,420,270
-15.533829,-11.254654,3.5531158,430,270
-14.3750305,-10.538788,3.1413116,440,270
-13.525085,-9.959396,2.6121826,450,270
-12.8762665,-9.3871765,2.2243347,460,270
-12.605713,-8.7982025,1.9992676,470,270
-12.6129,-8.53006,1.984909,480,270
-13.051041,-7.9769897,2.3727722,490,270
-13.323975,-7.62265,2.894699,500,270
-13.369461,-7.0312805,3.3400269,510,270
-13.098923,-6.408798,3.5507202,520,270
-12.893021,-6.1813507,3.5171967,530,270
-12.373474,-5.8437653,3.1676483,540,270
-11.930542,-5.64505,2.9785004,550,270
-11.260178,-5.261978,2.9162598,560,270
-10.764572,-4.644272,2.9713135,570,270
-10.65683,-3.9882507,3.114975,580,270
-10.903442,-3.4375916,3.2466583,590,270
-11.648041,-3.3945007,3.193985,600,270
-12.203491,-3.4208374,3.1532745,610,270
-12.301651,-3.3059082,2.9162598,620,270
-12.131668,-3.2005615,2.5331879,630,270
-11.695923,-3.1885986,2.2937622,640,270
-10.934555,-3.0641022,2.4350128,650,270
-10.568253,-2.9539642,2.549942,660,270
-10.324036,-2.6953888,2.719925,670,270
-10.5203705,-2.8845367,2.8180847,680,270
-10.800491,-3.0305786,2.9521637,690,270
-11.245804,-3.217331,3.4477692,700,270
-11.52832,-3.2819672,3.9601288,710,270
-11.664795,-3.475891,4.3551636,720,270
-11.748596,-3.8158722,4.517975,730,270
-12.172363,-4.3114777,4.436569,740,270
-12.890625,-5.1925354,4.008011,750,270
-13.757324,-6.356125,3.5315552,760,270
-14.363052,-7.289856,3.4573364,770,270
-14.643173,-7.9434814,3.5363464,780,270
-14.6719055,-8.666534,2.7821808,790,270
-14.700638,-9.269867,2.5906372,800,270
-14.894577,-9.789413,2.66008,810,270
-14.98555,-10.158112,2.9138641,820,270
-14.937668,-10.495697,3.1772156,830,270
-14.760498,-10.833282,3.5531158,840,270
-14.348694,-11.010452,3.6129608,850,270
-14.171524,-11.249878,3.277771,860,270
-14.396576,-11.829269,2.8133087,870,270
-14.844299,-12.590622,2.305725,880,270
